SingleThreaded_cpu,SingleThreaded_wall,SingleThreadedSimd_cpu,SingleThreadedSimd_wall,OpenMP_cpu,OpenMP_wall,OpenMPSimd_cpu,OpenMPSimd_wall,Cuda_cpu,Cuda_wall,CudaSimd_cpu,CudaSimd_wall,OpenCL_cpu,OpenCL_wall
3.34409e+06,3.34474e+06,858685,858685,7.58923e+06,949759,1.46182e+06,182747,75928,76008,79490,79571,88100,88075
3.34392e+06,3.34492e+06,858534,858530,7.63053e+06,957330,1.46481e+06,183181,76056,76135,79297,79383,87747,87740
3.34416e+06,3.34494e+06,858376,858375,7.58337e+06,948366,1.4593e+06,182959,76083,76148,79524,79591,87692,87685
3.34441e+06,3.34541e+06,858825,858824,7.59013e+06,950003,1.46212e+06,182748,75996,76081,79490,79565,87708,87696
3.34462e+06,3.34552e+06,858647,858643,7.61124e+06,952679,1.46525e+06,183265,76024,76104,79593,79667,87646,87630
3.34432e+06,3.34526e+06,858367,858366,7.72797e+06,966840,1.50524e+06,188408,76221,76313,79445,79522,87655,87639
3.34166e+06,3.34229e+06,858584,858590,7.72986e+06,966969,1.50272e+06,188149,75955,76031,79496,79579,87698,87680
3.34142e+06,3.34222e+06,858614,858614,7.7211e+06,966395,1.50083e+06,188002,76079,76176,79570,79645,87568,87551
3.34146e+06,3.34215e+06,858716,858716,8.20566e+06,1.02657e+06,1.50094e+06,187804,76044,76113,79431,79477,87712,87696
3.34283e+06,3.34376e+06,858787,858789,7.95364e+06,995085,1.50147e+06,187887,76118,76194,79598,79694,87558,87551
3.34141e+06,3.34269e+06,858598,858593,7.51849e+06,940853,1.50173e+06,187808,75924,75998,79570,79656,87668,87652
3.34309e+06,3.34406e+06,858740,858747,7.60439e+06,954624,1.50038e+06,187690,76177,76260,79703,79805,87667,87641
3.34197e+06,3.3428e+06,859721,859723,7.56887e+06,947534,1.49936e+06,187786,76185,76275,79540,79658,87691,87672
3.3428e+06,3.34405e+06,858983,858987,7.58657e+06,948927,1.50054e+06,187738,76053,76127,79579,79674,87784,87766
3.34278e+06,3.34372e+06,859023,859024,7.58337e+06,949217,1.52355e+06,193052,76074,76149,79391,79462,87700,87696
3.34301e+06,3.34389e+06,859059,859060,7.58102e+06,948690,1.49856e+06,187480,76023,76099,79489,79550,87649,87632
3.34227e+06,3.34331e+06,858964,858987,7.59256e+06,949610,1.49942e+06,187603,76040,76115,79463,79547,87753,87737
3.34264e+06,3.3437e+06,859038,859041,7.59029e+06,949984,1.50019e+06,187678,76054,76136,79495,79570,87518,87492
3.34239e+06,3.34334e+06,858646,858660,7.59541e+06,950003,1.49607e+06,187551,76062,76150,79498,79573,87604,87587
3.34248e+06,3.34349e+06,858799,858817,7.59069e+06,949904,1.50036e+06,187756,76089,76175,79589,79664,87612,87596
3.34245e+06,3.34323e+06,859414,859416,7.59591e+06,950176,1.49995e+06,187644,75964,76047,79458,79533,87630,87614
3.34248e+06,3.34327e+06,859300,859307,7.59158e+06,950078,1.50012e+06,187659,76002,76095,79472,79549,87569,87553
